group,idiom,explanation,example
动作描写-看,审视上下,仔细地上下打量。,他审视上下，仔细地看了看这件商品。
动作描写-听,侧耳倾听,侧着耳朵仔细听。,小鸟在唱歌，我侧耳倾听。
动作描写-听,洗耳恭听,洗干净耳朵恭恭敬敬地听，形容认真听对方的话。,老师说话时，我们要洗耳恭听。
动作描写-听,听而不闻,听见了却不放在心上，像没听见一样。,妈妈叫我三遍了，我却听而不闻。
动作描写-听,充耳不闻,塞住耳朵不听，形容故意不听别人的意见。,他对大家的建议充耳不闻。
动作描写-听,闻风而动,一听到消息就立刻行动。,听到集合的哨声，大家闻风而动。
动作描写-听,耳听八方,耳朵同时听各方面的声音，形容很警觉。,侦探耳听八方，不放过任何线索。
动作描写-说,口若悬河,说话像瀑布一样流个不停，形容能说会道。,他讲起故事来口若悬河。
动作描写-说,滔滔不绝,形容话很多，连续不断。,一提到足球，他就滔滔不绝地说个不停。
动作描写-说,娓娓动听,形容说话生动好听，让人爱听。,老师讲故事娓娓动听，同学们都听得入迷了。
动作描写-说,对答如流,回答问题像流水一样顺畅。,面试时他对答如流，很顺利。
动作描写-说,结结巴巴,说话不流利，吞吞吐吐。,他紧张得结结巴巴，说不出一句完整的话。
动作描写-说,吞吞吐吐,说话不爽快，想说又不敢说的样子。,他吞吞吐吐的，好像有什么事瞒着我。
动作描写-说,侃侃而谈,理直气壮、不慌不忙地说话。,他站在讲台上侃侃而谈，非常自信。
动作描写-说,窃窃私语,私下里小声说话。,上课时不要窃窃私语。
动作描写-说,妙语连珠,精彩美妙的语言像珍珠一样连续不断地流出来。,他妙语连珠，把大家逗得哈哈大笑。
动作描写-说,异口同声,不同的人说出同样的话。,"大家异口同声地回答：""好！"""
动作描写-说,议论纷纷,很多人你一言我一语地发表意见。,对于这个决定，大家议论纷纷。
动作描写-说,七嘴八舌,形容人多嘴杂，大家都在说话。,大家七嘴八舌地讨论着春游的计划。
动作描写-说,哑口无言,像哑巴一样说不出话来。,他被我问得哑口无言。
动作描写-说,理直气壮,理由充分，说话有气势。,"他理直气壮地说：""我没有做错！"""
动作描写-说,语重心长,说话情意深长，很有分量。,"爸爸语重心长地对我说：""做人要诚实。"""
动作描写-说,直言不讳,说话直爽，毫不隐讳。,他直言不讳地指出了我的缺点。
动作描写-说,拐弯抹角,说话不直接，绕来绕去。,你有话就直说，不要拐弯抹角的。
动作描写-说,唠唠叨叨,说话啰嗦，说个不停。,奶奶唠唠叨叨地嘱咐我要多穿衣服。
动作描写-说,花言巧语,说虚假而动听的话来骗人。,你不要被他的花言巧语骗了。
动作描写-说,甜言蜜语,说甜蜜的话来讨好别人。,坏人用甜言蜜语骗走了小朋友的信任。
动作描写-说,大喊大叫,大声喊叫，声音很大。,在图书馆不能大喊大叫。
动作描写-说,振振有词,形容自以为理由充分，说个不停。,他振振有词地辩解着，但大家都知道他在说谎。
动作描写-笑,捧腹大笑,笑得捧着肚子，非常开心。,小丑的表演让大家捧腹大笑。
动作描写-笑,哈哈大笑,张大嘴巴大声笑。,听到这个笑话，他哈哈大笑起来。
动作描写-笑,哄堂大笑,满屋子的人同时大笑起来。,他说了一句俏皮话，全班哄堂大笑。
动作描写-笑,眉开眼笑,眉头舒展，眼睛含笑。,拿到新玩具，他眉开眼笑。
动作描写-笑,破涕为笑,停止哭泣，露出笑容。,刚才还在哭，拿到糖果就破涕为笑了。
动作描写-笑,笑得合不拢嘴,形容笑得嘴巴都合不上了。,爷爷看到孙子回来了，笑得合不拢嘴。
动作描写-哭,嚎啕大哭,放声大声哭。,找不到妈妈了，小女孩嚎啕大哭。
动作描写-哭,泣不成声,哭得说不出话来。,她抱着妈妈泣不成声。
动作描写-哭,泪如泉涌,眼泪像泉水一样涌出来。,听到这个好消息，她激动得泪如泉涌。
动作描写-哭,抽抽搭搭,一抽一抽地小声哭。,她受了委屈，坐角落里抽抽搭搭地哭。
动作描写-哭,声泪俱下,一边说话一边流泪。,他讲述着自己的经历，声泪俱下。
动作描写-吃,狼吞虎咽,像狼和虎一样大口吞咽，形容吃得很急很猛。,他饿坏了，狼吞虎咽地吃着饭。
动作描写-吃,细嚼慢咽,慢慢地、仔细地咀嚼和吞咽。,吃饭要细嚼慢咽，对身体好。
动作描写-吃,津津有味,吃得很有味道，很有兴趣。,他津津有味地吃着妈妈做的红烧肉。
动作描写-吃,囫囵吞枣,把枣整个吞下去，比喻读书不仔细。,读书不能囫囵吞枣，要反复思考。
动作描写-吃,垂涎欲滴,馋得口水都要滴下来了。,看到蛋糕，我垂涎欲滴。
动作描写-手部,手舞足蹈,双手舞动，双脚跳动，形容高兴极了。,听到好消息，他高兴得手舞足蹈。
动作描写-手部,手忙脚乱,形容做事慌乱，没有条理。,快要迟到了，他急得手忙脚乱的。
动作描写-手部,指手画脚,说话时手脚并用做动作，也形容乱指挥。,他指手画脚地给大家讲解路线。
动作描写-手部,手疾眼快,形容动作快，眼睛也快。,他手疾眼快地接住了掉落的杯子。
动作描写-手部,摩拳擦掌,摩拳拳擦擦掌，形容做好了准备，跃跃欲试的样子。,比赛前，同学们摩拳擦掌，准备一展身手。
动作描写-手部,拳打脚踢,用拳头打用脚踢，形容打架。,电影里的打斗场面拳打脚踢很激烈。
动作描写-手部,蹑手蹑脚,放轻手脚，小心地走。,我蹑手蹑脚地走进房间，不想吵醒弟弟。
动作描写-手部,七手八脚,形容很多人一起动手，非常杂乱。,大家七手八脚地帮忙收拾打碎的玻璃。
动作描写-手部,笨手笨脚,形容动作不灵活，很笨拙。,我第一次包饺子，笨手笨脚的。
动作描写-手部,眼疾手快,眼睛锐利，动作敏捷。,他眼疾手快，一下抓住了那只飞来的球。
语言描写,能言善辩,善于说话，善于辩论。,他口才很好，能言善辩。
语言描写,伶牙俐齿,口齿伶俐，能说会道。,这个小女孩伶牙俐齿的，非常可爱。
语言描写,出口成章,话说出来就是一篇文章，形容口才好。,他学问好，出口成章。
语言描写,蜜里调油,形容话语甜蜜动听。,她说话蜜里调油一样的，让人听了很舒服。
语言描写,金口玉言,形容说话非常准确，说出来的话很有分量。,老师的话像金口玉言，我们都记在心里。
语言描写,说三道四,不负责任地议论别人。,不要在背后说三道四。
语言描写,胡言乱语,胡乱说话，没有根据地乱说。,他发烧了，开始胡言乱语。
语言描写,胡说八道,没有道理地乱说。,不要听他的，他在胡说八道。
自然山水-山,崇山峻岭,高大的山和险峻的山岭。,我们翻过崇山峻岭，终于到达了目的地。
自然山水-山,层峦叠嶂,形容山岭一层一层地重叠着。,远处的群山层峦叠嶂，非常壮观。
自然山水-山,悬崖峭壁,形容山势非常险峻陡峭。,那面悬崖峭壁，连山羊都爬不上去。
自然山水-山,连绵起伏,形容山脉连绵不断，高低起伏。,远处连绵起伏的山脉像一条巨龙。
自然山水-山,高耸入云,形容山峰非常高，直插云霄。,黄山高耸入云，非常壮观。
自然山水-山,群山环绕,四周都是山，被山围着。,我的家乡群山环绕，风景优美。
自然山水-山,山清水秀,山色青翠，水色秀丽，形容风景优美。,桂林是个山清水秀的好地方。
自然山水-山,峰峦雄伟,山峰高大雄壮。,泰山的峰峦雄伟，令人惊叹。
自然山水-山,直插云霄,形容山峰笔直地插入云层。,那座山峰直插云霄。
自然山水-山,危峰兀立,形容山峰高而险，高高耸立。,这座山上危峰兀立，景色非常奇特。
自然山水-山,怪石嶙峋,形状奇怪的石头重重叠叠的样子。,山上怪石嶙峋，形状各异。
自然山水-山,奇峰罗列,奇特的山峰一个个排列着。,张家界奇峰罗列，像一幅山水画。
自然山水-水,水平如镜,水面平静得像镜子一样。,湖面水平如镜，倒映着蓝天白云。
自然山水-水,波澜壮阔,形容水势浩大，非常壮观。,大海波澜壮阔，一望无际。
自然山水-水,波涛汹涌,形容波浪又大又急。,海面上波涛汹涌，渔船颠簸得很厉害。
自然山水-水,一泻千里,形容江河奔流直下，又快又远。,黄河一泻千里，气势磅礴。
自然山水-水,川流不息,形容行人车马像水流一样连续不断。,大街上车水马龙川流不息。
自然山水-水,波光粼粼,形容水面被阳光照射，波光闪动的样子。,阳光洒在湖面上，波光粼粼。
自然山水-水,清澈见底,形容水非常清澈透明，能看到水底。,这条小溪清澈见底，能看到小鱼在游来游去。
自然山水-水,碧波荡漾,碧绿色的水波轻轻摇动。,湖面上碧波荡漾，非常美丽。
自然山水-水,烟波浩渺,形容水面辽阔，雾气蒙蒙。,在烟波浩渺的湖面上，有一叶小舟。
自然山水-水,奔流不息,形容水不停地流着。,长江奔流不息，养育了千千万万的人。
自然山水-水,源源不断,形容连续不断，像水源一样。,泉水从山上源源不断地流下来。
自然山水-水,汹涌澎湃,形容水流湍急，波浪互相撞击。,黄河水汹涌澎湃，发出巨大的轰鸣声。
动物描写-整体,憨态可掬,形容动物或人憨厚可爱的样子。,大熊猫憨态可掬，特别惹人喜爱。
动物描写-整体,活泼可爱,形容生动自然，充满活力，让人喜欢。,小兔子活泼可爱的，在草地上跳来跳去。
动物描写-整体,小巧玲珑,形容小而精致，很可爱的样子。,这只小鸟小巧玲珑，羽毛色彩斑斓。
动物描写-整体,温顺可爱,形容温和顺从，让人喜欢。,小猫温顺可爱地趴在主人腿上。
动物描写-整体,威风凛凛,形容气势威严，让人敬畏。,老虎威风凛凛地走在丛林里。
动物描写-走兽,虎背熊腰,形容身体魁梧强壮。,那只大老虎虎背熊腰的，真不愧为森林之王。
动物描写-走兽,膘肥体壮,形容牲畜肥壮结实。,草原上的骏马膘肥体壮。
动物描写-走兽,老态龙钟,形容年老体衰，行动不灵便。,那只老狗已经老态龙钟了。
动物描写-走兽,瘦骨嶙峋,形容人或动物非常瘦，骨头都露出来了。,流浪狗瘦骨嶙峋的，让人心疼。
动物描写-飞禽,展翅高飞,张开翅膀高高飞翔。,雄鹰展翅高飞，在蓝天中翱翔。
动物描写-飞禽,莺歌燕舞,黄莺唱歌，燕子飞舞，形容春天热闹的景象。,春天到了，莺歌燕舞，一派生机勃勃。
动物描写-飞禽,鸟语花香,鸟儿叫花儿香，形容春天美好的景色。,春天的公园里鸟语花香。
动物描写-飞禽,鸦雀无声,连乌鸦和麻雀都不叫了，形容非常安静。,老师走进教室，全班顿时鸦雀无声。
动物描写-飞禽,一飞冲天,一下子飞得很高，比喻突然做出惊人成绩。,他在这次比赛中一飞冲天，获得了冠军。
动物描写-昆虫,蜻蜓点水,蜻蜓在水面上轻轻一点，比喻做事肤浅不深入。,他学东西蜻蜓点水，不求甚解。
动物描写-昆虫,飞蛾扑火,飞蛾扑向火焰，比喻自取灭亡。,他这样做简直就是飞蛾扑火。
动物描写-昆虫,金蝉脱壳,比喻用计脱身，使人不能及时发觉。,他从窗户里金蝉脱壳地逃走了。
动物描写-昆虫,螳臂当车,螳螂举起前腿去挡车，比喻不自量力。,你想一个人对抗全班，简直是螳臂当车。
动物描写-昆虫,蚕食鲸吞,像蚕吃桑叶一样慢慢侵占，像鲸鱼一样大口吞下。,这个大国蚕食鲸吞了小国的土地。
动物描写-水族,如鱼得水,就像鱼得到水一样，比喻得到适合自己的环境。,他到了新班级如同如鱼得水，很快就交到了朋友。
动物描写-水族,漏网之鱼,从渔网里漏掉的鱼，比喻侥幸逃脱的坏人。,警察抓住了那伙坏人，一个也没成为漏网之鱼。
动物描写-水族,鱼贯而入,像鱼一样一个接一个地进去。,同学们鱼贯而入地走进电影院。
动物描写-水族,鱼龙混杂,比喻好人坏人混在一起。,人多的地方鱼龙混杂，要注意安全。
动物描写-声音,虎啸狼嚎,老虎的咆哮和狼的嚎叫，形容恐怖的声音。,晚上传来虎啸狼嚎的声音，让人害怕。
动物描写-声音,鸡鸣狗吠,鸡叫狗叫的声音，形容乡村的生活气息。,清晨，小村庄里鸡鸣狗吠，热闹起来。
动物描写-声音,龙吟虎啸,像龙和老虎的叫声，形容声音宏大响亮。,风声在山谷中回荡，像龙吟虎啸一样。
动物描写-声音,蛙声一片,青蛙的叫声连成一片。,夏天的夜晚，池塘边蛙声一片。
动物描写-动作,上蹿下跳,形容上下乱跳，很不安分。,小猴子在笼子里上蹿下跳的。
动物描写-动作,东张西望,形容到处张望的样子。,小松鼠东张西望地看看四周。
动物描写-动作,活蹦乱跳,形容活力充沛，蹦蹦跳跳。,小羊羔在草地上活蹦乱跳。
动物描写-动作,慢条斯理,形容动作慢腾腾的，不慌不忙。,乌龟慢条斯理地向前爬。
动物描写-动作,张牙舞爪,张着嘴露着牙挥舞着爪子，形容凶恶的样子。,大螃蟹张牙舞爪地在盆子里爬。
植物描写-花,百花齐放,各种各样的花一起开放，形容春天的景象。,春天来了，公园里百花齐放。
植物描写-花,万紫千红,形容花的颜色非常多，非常美丽。,花园里万紫千红，美不胜收。
植物描写-花,姹紫嫣红,形容各种花颜色鲜艳美丽。,春天姹紫嫣红，到处都是花的海洋。
植物描写-花,花团锦簇,形容花朵聚集在一起，非常华丽。,国庆节的天安门广场花团锦簇。
植物描写-花,繁花似锦,许多花像锦缎一样美丽。,春天的草原繁花似锦。
植物描写-花,含苞欲放,花骨朵儿包着花苞即将开放。,那些玫瑰花含苞欲放，非常可爱。
植物描写-花,争奇斗艳,形容各种花竞相开放，比谁更美。,花园里的花争奇斗艳，美不胜收。
植物描写-花,清香扑鼻,香味直接朝着鼻子冲过来。,桂花开了，清香扑鼻。
植物描写-花,花枝招展,花枝在风中摆动，形容打扮得十分艳丽。,春风一吹，花枝招展的，美丽极了。
植物描写-花,落英缤纷,形容花瓣纷纷飘落的样子。,风吹过，樱花落英缤纷，像下了一场花雨。
植物描写-花,沁人心脾,形容香气或凉气让人感到非常舒服。,一阵花香沁人心脾。
植物描写-花,芬芳馥郁,形容香气非常浓郁。,玫瑰花开，芬芳馥郁。
植物描写-草,绿草如茵,绿油油的草地像铺了一层垫子。,草地上绿草如茵，非常柔软。
植物描写-草,一碧千里,形容一片碧绿，非常广阔。,草原上一碧千里，非常壮观。
植物描写-草,生机勃勃,形容生命力旺盛，充满活力。,春天来了，小草从地里钻出来，生机勃勃。
植物描写-草,野草丛生,野草到处生长。,这条小路年久失修，已经野草丛生了。
植物描写-草,风吹草低见牛羊,风吹过草地，草低伏下去，露出了牛和羊。,大草原上，风吹草低见牛羊，景色太美了。
植物描写-树木,郁郁葱葱,形容草木苍翠茂盛。,山坡上的树林郁郁葱葱。
植物描写-树木,枝繁叶茂,树枝多，叶子茂盛，形容树木生长旺盛。,这棵古树已经枝繁叶茂了。
植物描写-树木,古木参天,古老的树木高耸入云。,原始森林里古木参天。
植物描写-树木,根深叶茂,树根扎得深，叶子长得茂盛。,这棵大树根深叶茂，已经长了几百年了。
植物描写-树木,枯枝败叶,枯干的树枝和凋落的树叶。,秋风一吹，满地都是枯枝败叶。
植物描写-树木,万木争春,各种树木都争着在春天展现自己的生机。,春天到了，万木争春，一派欣欣向荣。
植物描写-树木,落叶归根,树叶落在树根旁边，比喻离开家乡的人最终回到家乡。,爷爷说老了要落叶归根，回老家生活。
植物描写-树木,盘根错节,树根盘旋，枝节交错，比喻事情复杂难办。,这件事盘根错节，需要好好理一理。
植物描写-树木,青翠欲滴,形容草木绿得要滴出水来。,雨后的树叶青翠欲滴。
植物描写-树木,绿树成荫,树木茂盛，形成了树荫。,这条路绿树成荫，夏天特别凉快。
植物描写-树木,挺拔苍翠,形容树木笔直挺立，颜色青翠。,松树挺拔苍翠，一年四季都是绿色的。
天气时令-春,春暖花开,春天天气暖和，花儿开放。,春暖花开的季节，最适合去踏青了。
天气时令-春,春意盎然,春天的气息很浓厚。,公园里春意盎然，到处都是新绿。
天气时令-春,春寒料峭,春天刚来，天气还比较寒冷。,虽然已是春天，但春寒料峭，还是要多穿衣服。
天气时令-春,春风化雨,像春风和雨水一样滋润万物，比喻好的教育。,老师的教诲如春风化雨，滋润着我们的心田。
天气时令-春,万物复苏,各种生物都苏醒过来，恢复了生机。,春天来了，万物复苏，大地一片生机勃勃。
天气时令-春,春回大地,春天回到大地，天气变暖。,春回大地，冰雪融化。
天气时令-春,和风细雨,温和的风和细小的雨，比喻做事温和细致。,老师总是和风细雨地教育我们。
天气时令-春,草长莺飞,小草生长，黄莺飞舞，形容江南春天的景色。,江南三月，草长莺飞。
天气时令-春,春色满园,满园都是春天的景色。,春色满园关不住，一枝红杏出墙来。
天气时令-春,春华秋实,春天开花，秋天结果，比喻事物的因果关系。,春华秋实，没有春天的努力就没有秋天的收获。
天气时令-夏,烈日炎炎,太阳很大，天气非常热。,烈日炎炎的中午，小狗趴在树荫下伸着舌头。
天气时令-夏,骄阳似火,强烈的阳光像火一样烤着大地。,骄阳似火的夏天，游泳池里人山人海。
天气时令-夏,挥汗如雨,挥洒的汗水像下雨一样，形容天热或劳累。,工人们在太阳下挥汗如雨地工作。
天气时令-夏,大汗淋漓,汗水流得满身都是。,跑了三圈后，他大汗淋漓。
天气时令-夏,暑气逼人,夏天的热气逼得人很难受。,中午的马路暑气逼人。
天气时令-夏,汗流浃背,汗流得湿透了背上的衣服。,虽然汗流浃背，但他仍然坚持训练。
天气时令-夏,电闪雷鸣,闪电和雷声交加，形容天气非常恶劣。,暴雨来临前，天空中电闪雷鸣。
天气时令-夏,倾盆大雨,雨大得像从盆里倒下来一样。,突然下起了倾盆大雨，路上的行人纷纷躲雨。
天气时令-夏,雷雨交加,雷和雨一起来。,那个雷雨交加的夜晚，我吓得睡不着。
天气时令-夏,暴风骤雨,来势凶猛的风雨，比喻声势浩大。,暴风骤雨过后，空气格外清新。
天气时令-秋,秋高气爽,秋天天空晴朗，气候凉爽宜人。,秋高气爽的天气最适合去爬山了。
天气时令-秋,秋风送爽,秋风带来了凉爽的感觉。,秋风送爽，桂花飘香。
天气时令-秋,秋色宜人,秋天的景色非常美，让人心情舒畅。,这片枫林秋色宜人，吸引了很多游客。
天气时令-秋,硕果累累,果实又多又大，形容丰收的景象。,秋天果园里硕果累累。
天气时令-秋,五谷丰登,粮食丰收，形容年成很好。,今年风调雨顺，五谷丰登。
天气时令-秋,天高云淡,天空很高，云很淡，形容秋天的天空。,天高云淡的日子，我们一起去放风筝。
天气时令-秋,金桂飘香,金色的桂花发出诱人的香气。,秋天到了，校园里金桂飘香。
天气时令-秋,落叶纷飞,树叶纷纷落下，飘得到处都是。,秋天，林间小路上落叶纷飞。
天气时令-秋,丹桂飘香,丹红色的桂花散发香味。,中秋时节，到处丹桂飘香。
天气时令-秋,一叶知秋,看到一片落叶就知道秋天到了。,一片叶子飘落，一叶知秋。
天气时令-冬,冰天雪地,形容到处都是冰雪，非常寒冷。,北方冬天冰天雪地的。
天气时令-冬,寒风刺骨,寒风像针一样刺到骨头里，形容非常寒冷。,冬天寒风刺骨，我裹紧了棉大衣。
天气时令-冬,白雪皑皑,雪下得很大，白茫茫的一片。,雪山上白雪皑皑，非常壮观。
天气时令-冬,银装素裹,形容雪后的景色，像穿上了银白色的衣服。,下雪了，整个世界银装素裹。
天气时令-冬,天寒地冻,天气非常寒冷，大地都冻住了。,天寒地冻的冬天，河面上结了一层厚冰。
天气时令-冬,滴水成冰,水滴下来就冻成了冰，形容天气极冷。,北方的冬天滴水成冰。
天气时令-冬,鹅毛大雪,像鹅毛一样大的雪花。,天空飘起了鹅毛大雪。
天气时令-冬,寒冬腊月,农历十二月，天气最冷的月份。,寒冬腊月，北风呼啸。
天气时令-冬,数九寒天,从冬至起数九，天气最冷的时期。,数九寒天里，环卫工人依然坚持工作。
天气时令-冬,瑞雪兆丰年,吉祥的冬雪预示着来年丰收。,一场大雪过后，爷爷说瑞雪兆丰年。
天气时令-风,狂风大作,风猛烈地吹。,突然狂风大作，门被吹得咣当响。
天气时令-风,微风拂面,微风吹在脸上，很舒服的感觉。,春天的微风拂面，让人心旷神怡。
天气时令-风,清风徐来,清凉的风慢慢地吹过来。,清风徐来，水波不兴。
天气时令-风,风平浪静,没有风浪，形容非常平静。,海面上风平浪静。
天气时令-风,风起云涌,大风刮起，乌云涌来，形容形势变化很快。,比赛场上竞争激烈，风起云涌。
天气时令-风,风调雨顺,风雨适合农作物生长的需要，形容年成好。,今年风调雨顺，庄稼长得特别好。
天气时令-雨,细雨如丝,雨点非常细，像丝线一样。,窗外细雨如丝，像一幅水墨画。
天气时令-雨,和风细雨,温和的风细细的雨。,老师说话就像和风细雨一样温柔。
天气时令-雨,雨过天晴,雨下过以后天晴了，比喻情况好转。,雨过天晴，天空出现了美丽的彩虹。
天气时令-雨,狂风暴雨,大风大雨，形容天气恶劣。,我们在狂风暴雨中艰难地前行。
天气时令-雨,烟雨蒙蒙,像烟雾一样的细雨，看不太清楚。,江南的烟雨蒙蒙，像仙境一样。
天气时令-雪,大雪纷飞,雪下得很大，雪花到处飞舞。,大雪纷飞的夜晚，路上行人很少。
天气时令-雪,雪中送炭,下雪天给人送炭取暖，比喻在别人急需时帮助。,在我有困难的时候，他雪中送炭，借给我钱。
天气时令-雪,冰消雪融,冰雪融化，天气变暖。,春天来了，冰消雪融。
天气时令-雪,雪上加霜,比喻祸不单行，又遇上了更倒霉的事。,他生病了还丢了钱包，真是雪上加霜。
天气时令-雪,冰雪聪明,形容人非常聪明。,她冰雪聪明，什么问题都难不倒她。
天气时令-日月星辰,旭日东升,早晨的太阳刚升起来。,旭日东升，新的一天开始了。
天气时令-日月星辰,夕阳西下,傍晚的太阳落山了。,夕阳西下，天边染成了金红色。
天气时令-日月星辰,烈日当空,火辣辣的太阳挂在天上。,烈日当空，农民伯伯还在田里劳作。
天气时令-日月星辰,月光如水,月光像水一样清澈明亮。,月光如水的夜晚，我们在院子里讲故事。
天气时令-日月星辰,皓月当空,明亮的月亮高高挂在天上。,八月十五的晚上，皓月当空。
天气时令-日月星辰,星光灿烂,星星很多很亮。,夏夜的星空星光灿烂。
天气时令-日月星辰,晨光熹微,早晨天色微明，刚刚有点亮光。,晨光熹微，小鸟开始唱歌了。
天气时令-日月星辰,朝霞满天,早上的霞光布满天空。,朝霞满天的早晨，真是美极了。
天气时令-日月星辰,晚霞似火,晚霞像火焰一样红。,晚霞似火，映红了半边天。
天气时令-日月星辰,云雾迷蒙,云雾弥漫，看不清远处。,山上云雾迷蒙，像仙境一样。
天气时令-天空,万里无云,天空非常晴朗，没有一丝云彩。,万里无云的天空像一块蓝宝石。
天气时令-天空,碧空如洗,蓝色的天空像洗过一样干净。,雨后的碧空如洗，空气格外清新。
天气时令-天空,天高云淡,天空高远，云很稀薄。,天高云淡，大雁排成队往南飞。
天气时令-天空,乌云密布,乌云布满天空，快要下雨了。,天空中乌云密布，要下大雨了。
声音描写-自然,震耳欲聋,声音大得能把耳朵震聋。,瀑布发出的声音震耳欲聋。
声音描写-自然,响彻云霄,声音响亮，直达天空。,国歌声响彻云霄。
声音描写-自然,万籁俱寂,形容周围环境非常安静，什么声音也没有。,深夜万籁俱寂，只有蛐蛐在叫。
声音描写-自然,人声鼎沸,人群中发出的声音像鼎里的水沸腾了一样。,广场上人声鼎沸，特别热闹。
声音描写-自然,鸦雀无声,连乌鸦和麻雀都不叫了，非常安静。,教室里鸦雀无声，大家都在专心考试。
声音描写-自然,悄无声息,形容没有声音或声音很轻。,雪花悄无声息地落下来。
声音描写-自然,风铃叮当,风铃被风吹动发出叮叮当当的声音。,窗前的风铃叮当作响。
声音描写-自然,泉水叮咚,泉水流动时发出叮叮咚咚的声音。,山泉水叮咚作响，像是在唱歌。
声音描写-自然,沙沙作响,发出轻微细碎的声音，如风吹树叶。,风吹过竹林，沙沙作响。
声音描写-自然,轰轰隆隆,形容巨大的响声，如打雷、火车等。,远处传来轰轰隆隆的雷声。
声音描写-自然,噼里啪啦,连续不断的爆裂声，如鞭炮、雨点等。,鞭炮噼里啪啦地响个不停。
声音描写-自然,潺潺流水,形容溪水、泉水流动的轻柔声音。,山涧里传来潺潺流水的声音。
颜色词汇-红色,万紫千红,形容百花齐放，色彩艳丽。,春天来了，公园里万紫千红。
颜色词汇-红色,姹紫嫣红,形容各种花颜色鲜艳。,花园里姹紫嫣红，美不胜收。
颜色词汇-红色,红彤彤,形容很红，红得发亮。,太阳红彤彤的，像一个大火球。
颜色词汇-红色,红艳艳,形容红得鲜艳夺目。,红艳艳的杜鹃花开满了山坡。
颜色词汇-红色,粉红,红和白混合的颜色，淡红色。,粉红的桃花开满了枝头。
颜色词汇-红色,火红火红,像火一样红，非常鲜艳。,秋天到了，枫叶火红火红的。
颜色词汇-绿色,翠色欲流,翠绿的颜色好像要流出来一样，形容绿得浓。,草原上翠色欲流，美极了。
颜色词汇-绿色,绿油油,形容颜色浓绿而有光泽。,春天的麦田绿油油的。
颜色词汇-绿色,碧绿碧绿,像碧玉一样的绿色。,湖水碧绿碧绿的，像一块翡翠。
颜色词汇-绿色,青翠欲滴,形容草木青翠鲜绿，像要滴出水来。,雨后的竹林青翠欲滴。
颜色词汇-绿色,嫩绿,像刚长出来的树叶那样的浅绿色。,春天柳树发出了嫩绿的新芽。
颜色词汇-蓝色,蔚蓝,像晴朗天空那样的蓝色。,蔚蓝的天空中飘着朵朵白云。
颜色词汇-蓝色,瓦蓝瓦蓝,形容天蓝色，像瓦片一样蓝。,雨后的天空瓦蓝瓦蓝的。
颜色词汇-蓝色,深蓝,很深很浓的蓝色。,深蓝的海水一望无际。
颜色词汇-蓝色,湛蓝,形容天空或海水的蓝色很深很纯净。,湛蓝的天空上有一群大雁飞过。
颜色词汇-黄色,金灿灿,形容像金子一样发亮的黄色。,秋天稻田里金灿灿的，一片丰收景象。
颜色词汇-黄色,黄澄澄,形容金黄色，非常好看。,橘子黄澄澄的，挂满了枝头。
颜色词汇-黄色,金黄,像金子一样的黄色。,金黄的落叶铺满了小路。
颜色词汇-白色,白茫茫,形容一望无际的白，多指雪、雾。,下雪后，大地白茫茫的一片。
颜色词汇-白色,雪白,像雪一样的洁白。,雪白的棉花堆满了仓库。
颜色词汇-白色,洁白无瑕,非常白净，没有一点瑕疵。,洁白的雪花从天上飘落下来。
颜色词汇-白色,银白,像银子一样白而发亮。,银白的月光洒在大地上。
颜色词汇-黑色,黑乎乎,形容颜色很黑，看不清。,山洞里黑乎乎的，什么都看不见。
颜色词汇-黑色,乌黑,非常黑，黑得发亮。,她有一头乌黑的长发。
颜色词汇-黑色,漆黑,形容非常黑暗，一点光都没有。,停电了，周围一片漆黑。
颜色词汇-多彩,五彩缤纷,形容颜色非常多，非常好看。,节日的烟花五彩缤纷。
颜色词汇-多彩,五颜六色,形容颜色很多很鲜艳。,花园里五颜六色的花都开了。
颜色词汇-多彩,绚丽多彩,灿烂美丽，色彩丰富。,晚霞绚丽多彩，美不胜收。
颜色词汇-多彩,色彩斑斓,形容颜色很多，灿烂多彩。,孔雀开屏时色彩斑斓，特别好看。
颜色词汇-多彩,花红柳绿,花是红的柳是绿的，形容春天景色。,春天花红柳绿，到处生机勃勃。
颜色词汇-多彩,光彩夺目,色彩鲜艳耀眼。,钻石在灯光下光彩夺目。
味道气味-甜,甜丝丝,形容有甜味，或心里感到甜蜜。,西瓜甜丝丝的，特别好吃。
味道气味-甜,甘甜可口,又甜又好吃，形容食物味道好。,山泉水甘甜可口。
味道气味-甜,香甜可口,又香又甜，非常好吃。,妈妈做的蛋糕香甜可口。
味道气味-酸,酸溜溜,形容酸的味道或酸的感觉。,醋是酸溜溜的。
味道气味-酸,酸甜可口,又酸又甜，很好吃。,糖醋排骨酸甜可口。
味道气味-苦,苦不堪言,苦得说不出来，形容非常苦。,中药苦不堪言，但良药苦口。
味道气味-苦,苦涩,又苦又涩的味道。,这个柿子还没熟，吃起来很苦涩。
味道气味-辣,火辣辣,形容像火一样辣的感觉。,火锅吃得我嘴里火辣辣的。
味道气味-辣,辛辣,味道辣而刺激。,他喜欢吃辛辣的食物。
味道气味-鲜,鲜美可口,味道鲜美，很好吃。,鱼汤鲜美可口，我一连喝了两碗。
